_id,student_id,amount
1735962e-7c9d-4305-ac32-7141ce9d6e1f,625b161f1b70acc69d27ad1f,900
bb548fbb-58d1-49c3-a4cc-31e0415ccecd,625b161f1b70acc69d27ad1f,900
3929f51a-04d4-4663-b20b-36cafda3fee4,625b161f1b70acc69d27ad1f,899
ed9894d6-b2fa-4bd5-b2e0-92aa9b9da2d4,625b161f1b70acc69d27ad1f,1
a99adba9-0249-431f-9eb3-f353c49316ac,625b161f1b70acc69d27ad1f,1
9998b18f-9a0f-4c49-bb5e-b7e9f6b84033,625b161f1b70acc69d27ad1f,1
ce95be79-7b01-4054-ad5d-e57a878d765b,625b161f1b70acc69d27ad1f,1
de4ec7f6-3959-4566-87f7-ec5332ddd3b4,625b161f1b70acc69d27ad1f,1
94fa29f9-d07c-4957-a864-ca7cd740a561,625b161f1b70acc69d27ad1f,1
05d94ba8-40c1-43d0-a79b-db9375e11c5b,625b161f1b70acc69d27ad1f,1
b4aa5086-e00b-4e6a-86c1-b379d7876667,62839bc7f357cbd86a9a773f,1
22ee65b5-e581-4245-9556-c6a89ec50488,62839bc7f357cbd86a9a773f,1
182956d3-fe2b-4500-9518-c1ccd5cdab80,62839bc7f357cbd86a9a773f,1
8ff3930d-76fd-4828-8daa-06f35d0c6356,62839bc7f357cbd86a9a773f,1
9683d0d4-dacc-4d75-aa8d-36b6037ce67c,62839bc7f357cbd86a9a773f,123123
10cdd910-9774-499c-a365-c18271d52f26,62839bc7f357cbd86a9a773f,13
6e8cd85d-1a92-42cd-a5b4-a0c545267f3f,62839bc7f357cbd86a9a773f,1
0d7f768a-088a-4a41-8f66-8c6e07918df4,62839bc7f357cbd86a9a773f,1
1f51f1bc-52b4-4cb4-8686-0a0b373a561e,62839bc7f357cbd86a9a773f,1
05be9d67-6b66-469f-947a-a88650dee336,62839bc7f357cbd86a9a773f,1
b9e99725-4a4c-4f7c-b3d6-9d11eef9c741,63bd41e029ea164c44c46543,40
7b57acf6-5e46-4447-aeb0-ba44d112af72,63bd41e029ea164c44c46543,10
56ef75c5-6a11-4b63-b537-8b97345a8a5a,63bd41e029ea164c44c46543,300
21c8ad63-4424-4a82-80b0-64d59b3e6613,62839bc7f357cbd86a9a773f,12312312
625b161f1b70acc69d27ad1f:62ced38e67e892a8bf552298:1640975400:DUE,625b161f1b70acc69d27ad1f,0
625b161f1b70acc69d27ad1f:62ced38e67e892a8bf552299:1640975400:DUE,625b161f1b70acc69d27ad1f,0
625b161f1b70acc69d27ad1f:62ced38e67e892a8bf55229a:1640975400:DUE,625b161f1b70acc69d27ad1f,1500
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1641753000:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1644431400:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1646850600:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1649529000:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1652121000:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1654799400:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1657391400:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1660069800:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1662748200:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1665340200:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1668018600:DUE,625b161f1b70acc69d27ad1f,1100
625b161f1b70acc69d27ad1f:62ced24067e892a8bf552294:1670610600:DUE,625b161f1b70acc69d27ad1f,1100
625b16401b70acc69d27ad20:62ced38e67e892a8bf55229b:1640975400:DUE,625b16401b70acc69d27ad20,0
625b16401b70acc69d27ad20:62ced38e67e892a8bf55229c:1640975400:DUE,625b16401b70acc69d27ad20,600
625b16401b70acc69d27ad20:62ced38e67e892a8bf55229d:1640975400:DUE,625b16401b70acc69d27ad20,0
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1641753000:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1644431400:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1646850600:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1649529000:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1652121000:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1654799400:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1657391400:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1660069800:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1662748200:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1665340200:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1668018600:DUE,625b16401b70acc69d27ad20,1100
625b16401b70acc69d27ad20:62ced24067e892a8bf552294:1670610600:DUE,625b16401b70acc69d27ad20,1100
625b165b1b70acc69d27ad21:62ced24067e892a8bf552294:1641753000:DUE,625b165b1b70acc69d27ad21,1100
625b165b1b70acc69d27ad21:62ced24067e892a8bf552294:1644431400:DUE,625b165b1b70acc69d27ad21,1100
625b165b1b70acc69d27ad21:62ced24067e892a8bf552294:1646850600:DUE,625b165b1b70acc69d27ad21,1100
625b165b1b70acc69d27ad21:62ced24067e892a8bf552294:1649529000:DUE,625b165b1b70acc69d27ad21,1100
625b165b1b70acc69d27ad21:62ced24067e892a8bf552294:1652121000:DUE,625b165b1b70acc69d27ad21,1100
625b165b1b70acc69d27ad21:62ced24067e892a8bf552294:1654799400:DUE,625b165b1b70acc69d27ad21,1100
625b165b1b70acc69d27ad21:62ced24067e892a8bf552294:1657391400:DUE,625b165b1b70acc69d27ad21,1100
625b165b1b70acc69d27ad21:62ced38e67e892a8bf55229e:1640975400:DUE,625b165b1b70acc69d27ad21,700
